F1,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year
20,Ollie Watkins,Forward,Aston Villa,36,3129,13,40,0,25,256.7,0,8,0,175,0,0,15,9,2023
21,Yoane Wissa,Forward,Brentford,34,2921,9,45,138,32,242.4,0,6,0,185,0,0,18,7.5,2025
22,Yoane Wissa,Forward,Brentford,29,2488,11,40,0,15,173.2,0,4,0,131,0,0,12,7.5,2024
23,Yoane Wissa,Forward,Brentford,16,1587,7,17,0,6,96.8,0,4,0,111,0,0,7,7.5,2023
24,Luis Díaz Marulanda,Midfielder,Liverpool,28,2393,15,21,158,21,246.4,0,7,0,183,0,0,13,8,2025
25,Luis Díaz Marulanda,Midfielder,Liverpool,32,2625,7,33,0,9,264.6,0,7,0,142,0,0,8,8,2024
26,Luis Díaz Marulanda,Midfielder,Liverpool,11,991,4,11,0,7,85,0,2,0,62,0,0,4,8,2023
27,Erling Haaland,Forward,Man City,31,2736,10,38,73,26,281.8,0,3,0,181,0,0,22,14,2025
28,Erling Haaland,Forward,Man City,29,2553,11,25,0,29,303.3,0,8,0,217,0,0,27,14,2024
29,Erling Haaland,Forward,Man City,33,2767,13,26,0,40,358.1,0,9,0,272,0,0,36,14,2023
30,Matheus Santos Carneiro da Cunha,Midfielder,Man Utd,29,2596,7,54,200,41,272.2,0,7,0,178,0,0,15,8,2025
31,Matheus Santos Carneiro da Cunha,Midfielder,Man Utd,29,2438,6,46,0,15,206.4,0,7,0,135,0,0,12,8,2024
32,Matheus Santos Carneiro da Cunha,Midfielder,Man Utd,12,961,5,12,0,6,45.1,0,0,0,39,0,0,2,8,2023
33,Bruno Borges Fernandes,Midfielder,Man Utd,35,3017,10,47,359,28,300.8,0,12,0,174,2,0,8,9,2025
34,Bruno Borges Fernandes,Midfielder,Man Utd,35,3118,7,52,0,24,351.3,0,9,0,166,0,0,10,9,2024
35,Bruno Borges Fernandes,Midfielder,Man Utd,37,3317,18,39,0,23,359.3,0,9,0,176,0,0,8,9,2023
36,Antoine Semenyo,Midfielder,Bournemouth,36,3202,11,41,267,14,267.8,0,7,0,165,0,0,11,7,2025
37,Antoine Semenyo,Midfielder,Bournemouth,25,2099,8,33,0,14,166.8,0,4,0,107,0,0,8,7,2024
38,Antoine Semenyo,Midfielder,Bournemouth,2,250,0,6,0,1,10.7,0,0,0,18,0,0,1,7,2023
39,Morgan Rogers,Midfielder,Aston Villa,37,3115,10,40,193,15,214.3,0,11,0,161,0,0,8,7,2025
40,Morgan Rogers,Midfielder,Aston Villa,8,636,2,13,0,0,44.5,0,1,0,35,0,0,3,7,2024
41,Jacob Murphy,Midfielder,Newcastle,31,2356,11,31,168,11,185.6,0,13,0,159,0,0,8,6.5,2025
42,Jacob Murphy,Midfielder,Newcastle,14,1184,5,21,0,4,110,0,8,0,82,0,0,3,6.5,2024
43,Jacob Murphy,Midfielder,Newcastle,14,1230,3,12,0,2,98.9,0,2,0,78,0,0,4,6.5,2023
44,Justin Kluivert,Midfielder,Bournemouth,29,2339,13,29,138,14,212,0,6,0,158,0,0,12,7,2025
45,Justin Kluivert,Midfielder,Bournemouth,26,1910,11,23,0,2,126.4,0,1,0,100,0,0,7,7,2024
46,Jordan Pickford,Goalkeeper,Everton,38,3420,12,44,0,15,107,122,1,2,158,0,0,0,5.5,2025
47,Jordan Pickford,Goalkeeper,Everton,38,3420,13,51,0,22,101.3,121,0,0,153,0,1,0,5.5,2024
48,Jordan Pickford,Goalkeeper,Everton,37,3330,8,57,0,10,102,124,1,1,124,0,0,0,5.5,2023
49,Alex Iwobi,Midfielder,Fulham,35,2981,6,45,227,16,243,0,6,0,156,0,0,9,6.5,2025
50,Alex Iwobi,Midfielder,Fulham,27,2331,7,41,0,9,175.9,0,2,0,102,0,0,5,6.5,2024
51,Alex Iwobi,Midfielder,Fulham,38,3379,9,56,0,9,201.3,0,8,0,126,0,0,2,6.5,2023
52,Morgan Gibbs-White,Midfielder,Nott'm Forest,34,2806,13,34,227,18,210.6,0,11,0,154,1,0,7,7.5,2025
53,Morgan Gibbs-White,Midfielder,Nott'm Forest,35,3156,5,59,0,13,235.6,0,12,0,142,0,0,5,7.5,2024
54,Morgan Gibbs-White,Midfielder,Nott'm Forest,36,3151,8,61,0,11,221.8,0,12,0,145,0,0,5,7.5,2023
55,Joško Gvardiol,Defender,Man City,36,3278,13,41,233,15,185,0,0,0,153,0,0,5,6,2025
56,Joško Gvardiol,Defender,Man City,26,2327,9,23,0,12,129.7,0,2,0,123,0,0,4,6,2024
57,Anthony Elanga,Midfielder,Newcastle,31,2496,12,35,135,15,199.8,0,11,0,153,0,0,6,7,2025
58,Anthony Elanga,Midfielder,Newcastle,25,2424,2,47,0,5,159.2,0,9,0,119,0,0,5,7,2024
59,Anthony Elanga,Midfielder,Newcastle,5,417,2,2,0,0,28.7,0,1,0,23,0,0,0,7,2023
60,Leandro Trossard,Midfielder,Arsenal,28,2546,11,27,158,18,202.1,0,8,0,152,1,0,8,7,2025
61,Leandro Trossard,Midfielder,Arsenal,18,1633,12,10,0,11,169.5,0,2,0,138,0,0,12,7,2024
62,Leandro Trossard,Midfielder,Arsenal,26,2237,8,38,0,8,225.2,0,13,0,154,0,0,8,7,2023
63,Jean-Philippe Mateta,Forward,Crystal Palace,33,2642,9,37,114,27,187.3,0,2,0,150,0,0,14,7.5,2025
64,Jean-Philippe Mateta,Forward,Crystal Palace,25,2274,8,44,0,22,191.9,0,7,0,165,0,0,16,7.5,2024
65,Jean-Philippe Mateta,Forward,Crystal Palace,6,748,3,10,0,3,42.5,0,0,0,41,0,0,2,7.5,2023
66,Matz Sels,Goalkeeper,Nott'm Forest,38,3420,13,46,0,11,96.7,120,1,0,150,0,0,0,5,2025
67,Matz Sels,Goalkeeper,Nott'm Forest,16,1440,1,27,0,1,30.3,37,0,0,34,0,0,0,5,2024
68,Kevin Schade,Midfielder,Brentford,26,2281,10,34,161,12,183.3,0,4,0,149,0,0,11,7,2025
69,Kevin Schade,Midfielder,Brentford,3,327,1,5,0,2,26.2,0,2,0,33,0,0,2,7,2024
70,Kevin Schade,Midfielder,Brentford,7,723,3,7,0,0,39.8,0,1,0,29,0,0,0,7,2023
71,Ismaïla Sarr,Midfielder,Crystal Palace,30,2708,10,39,190,14,215.9,0,7,0,149,0,0,8,6.5,2025
74,Eberechi Eze,Midfielder,Crystal Palace,31,2588,10,34,204,15,222.4,0,8,0,148,0,0,8,7.5,2025
75,Eberechi Eze,Midfielder,Crystal Palace,24,2054,8,28,0,11,228.7,0,5,0,136,0,0,11,7.5,2024
76,Eberechi Eze,Midfielder,Crystal Palace,30,2631,9,35,0,21,217,0,5,0,159,0,0,10,7.5,2023
77,Raúl Jiménez Rodríguez,Forward,Fulham,30,2486,7,37,153,26,199.7,0,3,0,147,0,0,12,6.5,2025
78,Raúl Jiménez Rodríguez,Forward,Fulham,18,1390,4,29,0,13,95.1,0,0,0,72,1,0,7,6.5,2024
79,Raúl Jiménez Rodríguez,Forward,Fulham,8,839,2,18,0,0,46.7,0,2,0,29,0,0,0,6.5,2023
80,Mitoma Kaoru,Midfielder,Brighton,28,2597,6,40,168,12,210.7,0,5,0,145,0,0,10,6.5,2025
81,Mitoma Kaoru,Midfielder,Brighton,15,1485,1,27,0,7,134,0,7,0,74,0,0,3,6.5,2024
82,Mitoma Kaoru,Midfielder,Brighton,24,2311,8,35,0,11,200.4,0,9,0,138,0,0,7,6.5,2023
83,Nikola Milenković,Defender,Nott'm Forest,37,3330,13,45,310,2,127.2,0,2,0,145,0,0,5,5.5,2025
84,Jørgen Strand Larsen,Forward,Wolves,30,2587,7,52,91,17,179.5,0,4,0,145,0,0,14,6.5,2025
85,Virgil van Dijk,Defender,Liverpool,37,3330,14,38,300,8,143.7,0,1,0,143,0,0,3,6,2025
86,Virgil van Dijk,Defender,Liverpool,36,3177,9,40,0,8,153.8,0,2,0,117,1,0,2,6,2024
87,Virgil van Dijk,Defender,Liverpool,32,2835,11,36,0,13,125.4,0,1,0,127,0,0,3,6,2023
88,Dominik Szoboszlai,Midfielder,Liverpool,29,2485,12,29,199,14,198.1,0,10,0,143,0,0,6,6.5,2025
89,Dominik Szoboszlai,Midfielder,Liverpool,25,2102,8,23,0,7,162.8,0,4,0,99,0,0,3,6.5,2024
90,David Raya Martín,Goalkeeper,Arsenal,38,3420,13,34,0,10,76.7,86,0,0,142,0,0,0,5.5,2025
91,David Raya Martín,Goalkeeper,Arsenal,32,2880,16,24,0,6,41.1,46,0,1,135,0,0,0,5.5,2024
92,David Raya Martín,Goalkeeper,Arsenal,38,3420,12,46,0,20,117.3,154,0,0,166,0,1,0,5.5,2023
93,Daniel Muñoz Mejía,Defender,Crystal Palace,37,3229,11,46,267,9,197.6,0,6,0,142,0,0,4,5.5,2025
94,Daniel Muñoz Mejía,Defender,Crystal Palace,16,1440,5,22,0,3,71.7,0,4,0,56,0,0,0,5.5,2024
95,Brennan Johnson,Midfielder,Spurs,24,2171,2,38,119,13,161,0,6,0,137,0,0,11,7,2025
96,Brennan Johnson,Midfielder,Spurs,26,2317,5,42,0,9,196.3,0,12,0,131,0,0,5,7,2024
97,Brennan Johnson,Midfielder,Spurs,33,2930,7,54,0,15,158.1,0,5,0,122,0,0,8,7,2023
98,Enzo Fernández,Midfielder,Chelsea,32,2943,10,37,261,11,241.3,0,8,0,135,0,0,6,6.5,2025
99,Enzo Fernández,Midfielder,Chelsea,26,2208,5,47,0,4,146.3,0,3,0,77,0,0,3,6.5,2024
100,Enzo Fernández,Midfielder,Chelsea,18,1547,3,25,0,1,72.6,0,2,0,42,0,0,0,6.5,2023
101,Dean Henderson,Goalkeeper,Crystal Palace,38,3420,11,51,0,8,88.6,104,0,1,135,0,0,0,5,2025
102,Dean Henderson,Goalkeeper,Crystal Palace,18,1620,4,30,0,2,43.7,58,0,0,48,0,2,0,5,2024
103,Dean Henderson,Goalkeeper,Crystal Palace,18,1620,6,31,0,12,47.5,54,0,2,82,0,0,0,5,2023
104,Bruno Guimarães Rodriguez Moura,Midfielder,Newcastle,38,3273,13,44,350,10,197.5,0,6,0,135,0,0,5,6.5,2025
105,Bruno Guimarães Rodriguez Moura,Midfielder,Newcastle,37,3264,10,60,0,15,241,0,9,0,153,0,0,7,6.5,2024
106,Bruno Guimarães Rodriguez Moura,Midfielder,Newcastle,32,2727,12,25,0,5,156.6,0,5,0,107,0,0,4,6.5,2023
107,Milos Kerkez,Defender,Liverpool,38,3336,9,45,207,10,157.3,0,6,0,134,0,0,2,6,2025
108,Milos Kerkez,Defender,Liverpool,22,1966,6,37,0,1,67.7,0,2,0,59,1,1,0,6,2024
109,Marc Cucurella Saseta,Defender,Chelsea,33,2988,9,38,191,14,137.9,0,2,0,133,1,0,5,6,2025
110,Marc Cucurella Saseta,Defender,Chelsea,20,1783,4,33,0,3,79.3,0,3,0,44,0,1,0,6,2024
111,Marc Cucurella Saseta,Defender,Chelsea,21,1669,6,20,0,1,65.9,0,2,0,65,0,0,0,6,2023
112,James Maddison,Midfielder,Spurs,21,1799,6,32,140,15,187.8,0,8,0,133,0,0,9,7,2025
113,James Maddison,Midfielder,Spurs,26,2137,7,31,0,9,221.4,0,11,0,117,0,0,4,7,2024
114,James Maddison,Midfielder,Spurs,28,2479,4,54,0,9,259.7,0,9,0,135,0,0,10,7,2023
115,Liam Delap,Forward,Chelsea,32,2587,3,58,109,22,157.5,0,2,0,132,0,0,12,6.5,2025
118,Mikkel Damsgaard,Midfielder,Brentford,34,2911,11,41,321,10,205.9,0,10,0,131,0,0,2,6,2025
119,Mikkel Damsgaard,Midfielder,Brentford,7,829,5,9,0,0,44.7,0,4,0,45,0,0,0,6,2024
120,Mikkel Damsgaard,Midfielder,Brentford,9,970,3,14,0,0,46.5,0,0,0,33,0,0,0,6,2023
121,William Saliba,Defender,Arsenal,35,3039,12,29,216,14,94.2,0,0,0,130,1,0,2,6,2025
122,William Saliba,Defender,Arsenal,38,3420,18,29,0,13,99.1,0,1,0,164,0,0,2,6,2024
123,William Saliba,Defender,Arsenal,27,2415,12,25,0,14,74.5,0,1,0,117,0,1,2,6,2023
124,Harvey Barnes,Midfielder,Newcastle,17,1746,6,23,90,13,163.1,0,5,0,130,0,0,9,6.5,2025
125,Harvey Barnes,Midfielder,Newcastle,7,788,2,10,0,3,79.5,0,3,0,64,0,0,5,6.5,2024
126,Harvey Barnes,Midfielder,Newcastle,32,2709,6,51,0,0,187.7,0,2,0,138,0,0,13,6.5,2023
127,Murillo Costa dos Santos,Defender,Nott'm Forest,36,3188,12,44,376,18,134,0,0,0,130,0,0,2,5.5,2025
128,Murillo Costa dos Santos,Defender,Nott'm Forest,32,2790,3,56,0,1,95.8,0,2,0,58,0,1,0,5.5,2024
129,Amad Diallo,Midfielder,Man Utd,20,1898,7,30,176,17,193.8,0,8,0,129,0,0,8,6.5,2025
130,Amad Diallo,Midfielder,Man Utd,3,385,1,6,0,3,35.2,0,1,0,23,0,0,1,6.5,2024
135,Francisco Evanilson de Lima Barbosa,Forward,Bournemouth,28,2317,11,30,107,20,174.8,0,5,0,128,1,0,10,7,2025
136,Ola Aina,Defender,Nott'm Forest,35,2996,12,39,206,15,94.1,0,1,0,128,0,0,2,5,2025
137,Ola Aina,Defender,Nott'm Forest,20,1690,2,39,0,2,54.4,0,1,0,45,0,0,1,5,2024
139,Bukayo Saka,Midfielder,Arsenal,20,1724,7,21,108,18,227.9,0,11,0,127,0,0,6,10,2025
140,Bukayo Saka,Midfielder,Arsenal,35,2922,16,27,0,29,375.7,0,12,0,226,0,0,16,10,2024
141,Bukayo Saka,Midfielder,Arsenal,37,3183,12,42,0,19,333.4,0,12,0,202,0,0,14,10,2023
142,Declan Rice,Midfielder,Arsenal,33,2823,11,29,297,17,208.8,0,7,0,127,1,0,4,6.5,2025
143,Declan Rice,Midfielder,Arsenal,37,3225,17,28,0,17,215.9,0,9,0,165,0,0,7,6.5,2024
144,Declan Rice,Midfielder,Arsenal,36,3272,9,50,0,12,155.5,0,3,0,116,0,0,4,6.5,2023
145,Nathan Collins,Defender,Brentford,38,3420,8,57,351,11,149.6,0,7,0,127,0,0,2,5,2025
146,Nathan Collins,Defender,Brentford,29,2649,7,51,0,8,98.7,0,1,0,84,0,0,1,5,2024
147,Nathan Collins,Defender,Brentford,19,1811,4,37,0,6,51.5,0,0,0,49,1,0,0,5,2023
148,Cody Gakpo,Midfielder,Liverpool,23,1921,5,25,136,22,180.3,0,5,0,127,0,0,10,7.5,2025
149,Cody Gakpo,Midfielder,Liverpool,17,1633,5,20,0,12,157.1,0,5,0,106,0,0,8,7.5,2024
150,Cody Gakpo,Midfielder,Liverpool,17,1455,6,19,0,4,112.3,0,3,0,90,0,0,7,7.5,2023
151,Robert Lynch Sánchez,Goalkeeper,Chelsea,32,2880,10,34,0,11,77.5,95,0,1,126,0,0,0,5,2025
152,Robert Lynch Sánchez,Goalkeeper,Chelsea,16,1433,3,25,0,7,45.2,53,0,1,59,0,0,0,5,2024
153,Robert Lynch Sánchez,Goalkeeper,Chelsea,23,2070,6,30,0,10,43.9,48,0,1,82,0,0,0,5,2023
154,João Pedro Junqueira de Jesus,Forward,Chelsea,23,1946,6,28,96,26,166,0,6,0,126,1,0,10,7.5,2025
155,João Pedro Junqueira de Jesus,Forward,Chelsea,19,2037,5,38,0,12,213.4,0,3,0,104,0,0,9,7.5,2024
157,Tomáš Souček,Midfielder,West Ham,30,2563,7,44,234,15,154,0,2,0,126,0,0,9,6,2025
158,Tomáš Souček,Midfielder,West Ham,34,2867,5,64,0,9,150.3,0,2,0,116,0,0,7,6,2024
159,Tomáš Souček,Midfielder,West Ham,32,2811,8,42,0,6,127.1,0,4,0,100,0,0,2,6,2023
160,Gabriel Martinelli Silva,Midfielder,Arsenal,25,2284,10,25,122,6,206.1,0,4,0,125,0,0,8,7,2025
161,Gabriel Martinelli Silva,Midfielder,Arsenal,24,2010,10,23,0,6,200.8,0,5,0,118,0,0,6,7,2024
162,Gabriel Martinelli Silva,Midfielder,Arsenal,34,2789,14,33,0,18,298.1,0,9,0,198,0,0,15,7,2023
163,Danny Welbeck,Forward,Brighton,24,2109,7,37,95,21,155.8,0,5,0,125,0,0,10,6.5,2025
164,Danny Welbeck,Forward,Brighton,21,1687,8,28,0,5,114,0,4,0,79,0,0,5,6.5,2024
165,Danny Welbeck,Forward,Brighton,21,1844,6,28,0,5,155.4,0,5,0,91,0,0,6,6.5,2023
166,Rayan Aït-Nouri,Defender,Man City,37,3112,7,67,187,13,191,0,7,0,125,1,0,4,6,2025
167,Rayan Aït-Nouri,Defender,Man City,29,2327,3,43,0,6,107.7,0,3,0,77,0,0,2,6,2024
168,Rayan Aït-Nouri,Defender,Man City,9,1067,4,18,0,0,48.9,0,0,0,41,0,1,1,6,2023
169,Anthony Gordon,Midfielder,Newcastle,28,2428,10,33,143,9,196.8,0,6,0,124,0,0,6,7.5,2025
170,Anthony Gordon,Midfielder,Newcastle,34,2896,12,48,0,14,256.7,0,16,0,183,1,0,11,7.5,2024
171,Anthony Gordon,Midfielder,Newcastle,16,1574,4,18,0,5,108.8,0,0,0,68,0,0,4,7.5,2023
172,Tyrick Mitchell,Defender,Crystal Palace,37,3090,12,46,217,4,136.2,0,6,0,123,0,0,0,5,2025
173,Tyrick Mitchell,Defender,Crystal Palace,37,3204,10,55,0,10,127.4,0,3,0,119,0,0,2,5,2024
174,Tyrick Mitchell,Defender,Crystal Palace,34,2889,8,40,0,7,89,0,2,0,93,1,0,0,5,2023
175,Alexis Mac Allister,Midfielder,Liverpool,30,2597,14,24,300,8,174.1,0,6,0,122,0,0,5,6.5,2025
176,Alexis Mac Allister,Midfielder,Liverpool,31,2600,6,34,0,12,166.2,0,5,0,109,1,0,5,6.5,2024
177,Alexis Mac Allister,Midfielder,Liverpool,31,2882,10,45,0,18,221.3,0,2,0,140,0,1,10,6.5,2023
178,Youri Tielemans,Midfielder,Aston Villa,35,3025,7,46,314,15,209.6,0,7,0,121,0,0,3,6,2025
179,Youri Tielemans,Midfielder,Aston Villa,17,1613,4,27,0,2,83.3,0,6,0,77,0,0,2,6,2024
180,Youri Tielemans,Midfielder,Aston Villa,27,2341,6,49,0,6,122.1,0,3,0,86,0,0,3,6,2023
181,Nicolas Jackson,Forward,Chelsea,28,2220,11,24,90,17,187.4,0,6,0,121,1,0,10,6.5,2025
182,Nicolas Jackson,Forward,Chelsea,31,2801,9,48,0,12,237.7,0,6,0,142,0,0,14,6.5,2024
183,Vitalii Mykolenko,Defender,Everton,35,3082,11,39,252,9,115.2,0,3,0,121,0,0,1,5,2025
184,Vitalii Mykolenko,Defender,Everton,28,2469,9,37,0,9,96.8,0,1,0,101,0,0,2,5,2024
185,Vitalii Mykolenko,Defender,Everton,30,2653,7,46,0,4,93.4,0,1,0,75,0,0,0,5,2023
186,Noni Madueke,Midfielder,Arsenal,27,2028,6,28,129,12,195.3,0,5,0,120,0,0,7,7,2025
187,Noni Madueke,Midfielder,Arsenal,13,1044,4,19,0,7,102.8,0,3,0,76,0,0,5,7,2024
188,Noni Madueke,Midfielder,Arsenal,7,639,0,13,0,2,55,0,0,0,26,0,0,1,7,2023
189,André Onana,Goalkeeper,Man Utd,34,3060,9,44,0,8,74.7,90,0,1,120,0,0,0,5,2025
190,André Onana,Goalkeeper,Man Utd,38,3420,9,58,0,10,120.2,149,0,0,133,0,0,0,5,2024
191,Fabian Schär,Defender,Newcastle,33,2935,11,42,239,4,119.6,0,2,0,118,1,0,4,5.5,2025
192,Fabian Schär,Defender,Newcastle,35,3055,9,58,0,12,127.4,0,3,0,123,0,0,4,5.5,2024
193,Fabian Schär,Defender,Newcastle,36,3207,15,28,0,6,147.1,0,3,0,139,0,1,1,5.5,2023
194,Aaron Wan-Bissaka,Defender,West Ham,35,3154,6,59,258,15,152.7,0,6,0,118,0,1,2,4.5,2025
195,Aaron Wan-Bissaka,Defender,West Ham,20,1778,3,34,0,5,65.5,0,2,0,47,0,0,0,4.5,2024
196,Aaron Wan-Bissaka,Defender,West Ham,16,1432,8,10,0,3,65.5,0,0,0,67,0,0,0,4.5,2023
197,Gabriel dos Santos Magalhães,Defender,Arsenal,28,2363,10,22,159,9,108.2,0,2,0,117,0,0,3,6,2025
198,Gabriel dos Santos Magalhães,Defender,Arsenal,34,3042,16,26,0,8,117.9,0,1,0,149,0,1,3,6,2024
199,Gabriel dos Santos Magalhães,Defender,Arsenal,38,3409,14,43,0,15,127.7,0,0,0,146,0,0,3,6,2023
200,Dejan Kulusevski,Midfielder,Spurs,27,2386,6,41,193,9,218.7,0,4,0,117,0,0,7,6.5,2025
201,Dejan Kulusevski,Midfielder,Spurs,31,2759,8,46,0,14,260.1,0,3,0,130,0,0,8,6.5,2024
202,Dejan Kulusevski,Midfielder,Spurs,23,2062,8,40,0,5,156,0,7,0,96,0,0,2,6.5,2023
203,Martin Ødegaard,Midfielder,Arsenal,26,2321,11,21,127,11,198.8,0,9,0,116,0,0,3,8,2025
204,Martin Ødegaard,Midfielder,Arsenal,35,3098,19,23,0,26,317,0,11,0,186,0,0,8,8,2024
205,Martin Ødegaard,Midfielder,Arsenal,37,3132,13,38,0,30,304.9,0,8,0,212,0,0,15,8,2023
206,Marc Guéhi,Defender,Crystal Palace,34,3059,11,42,268,11,131,0,2,0,116,1,3,3,4.5,2025
207,Marc Guéhi,Defender,Crystal Palace,23,2020,6,32,0,6,56.1,0,1,0,66,0,0,0,4.5,2024
208,Marc Guéhi,Defender,Crystal Palace,37,3330,9,46,0,2,106.7,0,0,0,95,0,1,1,4.5,2023
209,Bernd Leno,Goalkeeper,Fulham,38,3420,5,54,0,5,98.6,110,2,1,115,0,0,0,5,2025
210,Bernd Leno,Goalkeeper,Fulham,38,3420,10,61,0,15,106.7,134,0,0,133,0,1,0,5,2024
211,Bernd Leno,Goalkeeper,Fulham,36,3240,8,51,0,17,116.6,144,0,1,142,0,0,0,5,2023
212,Dan Burn,Defender,Newcastle,37,3330,13,45,286,9,115.8,0,1,0,115,0,2,1,5,2025
213,Dan Burn,Defender,Newcastle,32,2725,8,45,0,4,109.7,0,2,0,97,0,0,2,5,2024
214,Dan Burn,Defender,Newcastle,35,3109,14,30,0,6,105.3,0,0,0,129,0,0,1,5,2023
215,Jurriën Timber,Defender,Arsenal,27,2415,11,21,125,9,94.2,0,3,0,114,0,0,1,5.5,2025
216,Jurriën Timber,Defender,Arsenal,1,70,0,0,0,0,1.3,0,0,0,0,0,0,0,5.5,2024
217,Maxence Lacroix,Defender,Crystal Palace,35,3116,11,45,347,9,111.4,0,2,0,114,0,0,1,5,2025
218,Iliman Ndiaye,Midfielder,Everton,29,2426,15,24,265,21,142,0,0,0,114,0,0,9,6.5,2025
221,Emile Smith Rowe,Midfielder,Fulham,25,2036,7,28,135,15,124.4,0,3,0,114,0,0,6,6,2025
222,Emile Smith Rowe,Midfielder,Fulham,3,343,3,3,0,0,25.6,0,2,0,25,0,0,0,6,2024
223,Emile Smith Rowe,Midfielder,Fulham,0,161,0,5,0,0,16.7,0,2,0,18,0,0,0,6,2023
224,Alisson Becker,Goalkeeper,Liverpool,28,2508,10,29,0,9,64,78,0,0,112,0,0,0,5.5,2025
225,Alisson Becker,Goalkeeper,Liverpool,28,2520,8,30,0,9,68.1,83,0,0,107,0,0,0,5.5,2024
226,Alisson Becker,Goalkeeper,Liverpool,37,3330,14,43,0,15,97.6,107,1,1,162,0,0,0,5.5,2023
227,Emiliano Martínez Romero,Goalkeeper,Aston Villa,37,3195,8,47,0,6,86,100,0,1,111,1,0,0,5,2025
228,Emiliano Martínez Romero,Goalkeeper,Aston Villa,34,3015,8,48,0,19,82.2,95,0,0,115,0,2,0,5,2024
229,Emiliano Martínez Romero,Goalkeeper,Aston Villa,36,3139,11,38,0,15,85.7,98,0,1,135,0,1,0,5,2023
230,Dango Ouattara,Midfielder,Bournemouth,21,1998,7,23,196,7,187.2,0,4,0,111,0,0,7,6,2025
231,Dango Ouattara,Midfielder,Bournemouth,12,1214,5,24,0,3,87.8,0,2,0,56,0,0,1,6,2024
232,Dango Ouattara,Midfielder,Bournemouth,15,1239,1,23,0,4,82.5,0,3,0,49,0,0,1,6,2023
233,Ederson Santana de Moraes,Goalkeeper,Man City,26,2320,10,26,0,9,60.9,54,4,0,111,0,0,0,5.5,2025
234,Ederson Santana de Moraes,Goalkeeper,Man City,33,2785,11,27,0,5,56,57,0,0,112,0,0,0,5.5,2024
235,Ederson Santana de Moraes,Goalkeeper,Man City,35,3150,11,32,0,8,52.1,46,1,0,121,0,0,0,5.5,2023
236,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,29,2667,10,36,223,13,193.6,0,4,0,110,0,0,4,6.5,2025
237,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,29,2576,10,26,0,20,228,0,9,0,141,0,0,6,6.5,2024
238,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,24,2196,7,24,0,9,143.1,0,6,0,106,0,0,4,6.5,2023
239,Levi Samuels Colwill,Defender,Chelsea,35,3150,10,41,221,6,109.4,0,1,0,109,0,0,2,5,2025
