,role,name,club,season,points,games-started,minutes-played,goals-scored,assists,clean-sheets,goals-conceded,defensive-contribution,own-goals,penalties-saved,saves,bonus,red-cards,ict-index,current-price
600,Defender,Konstantinos Tsimikas,Liverpool,2024/25,43,9,829,0,1,4,8,61,0,0,0,3,0,52.5,£5.0m
601,Defender,Konstantinos Tsimikas,Liverpool,2023/24,48,8,675,0,3,4,7,0,0,0,0,4,0,46.2,£5.0m
602,Defender,Konstantinos Tsimikas,Liverpool,2022/23,48,9,762,0,4,4,11,0,0,0,0,2,0,60.7,£5.0m
603,Defender,Destiny Udogie,Spurs,2024/25,43,24,1923,0,1,2,35,131,1,0,0,0,0,74.5,£4.5m
604,Defender,Destiny Udogie,Spurs,2023/24,79,28,2391,2,3,5,43,0,0,0,0,8,1,117.3,£4.5m
605,Forward,Gabriel Fernando de Jesus,Arsenal,2024/25,42,6,600,3,2,2,5,50,0,0,0,6,0,52.6,£6.5m
606,Forward,Gabriel Fernando de Jesus,Arsenal,2023/24,85,17,1470,4,7,11,11,0,0,0,0,10,0,152.7,£6.5m
607,Forward,Gabriel Fernando de Jesus,Arsenal,2022/23,125,24,2064,11,7,9,23,0,0,0,0,17,0,241.9,£6.5m
608,Defender,Tariq Lamptey,Brighton,2024/25,42,10,856,2,2,2,21,52,0,0,0,1,0,36.8,£4.5m
609,Defender,Tariq Lamptey,Brighton,2023/24,31,10,908,0,3,1,20,0,0,0,0,0,0,37.6,£4.5m
610,Defender,Tariq Lamptey,Brighton,2022/23,23,3,439,0,0,1,7,0,0,0,0,0,0,20.6,£4.5m
611,Midfielder,Adam Wharton,Crystal Palace,2024/25,42,16,1314,0,2,4,21,185,0,0,0,0,0,71.2,£5.0m
612,Midfielder,Adam Wharton,Crystal Palace,2023/24,50,15,1296,0,3,7,16,0,0,0,0,4,0,57.3,£5.0m
613,Midfielder,James Garner,Everton,2024/25,42,17,1590,0,1,5,19,181,0,0,0,0,0,60.4,£5.0m
614,Midfielder,James Garner,Everton,2023/24,87,34,3001,1,2,11,47,0,0,0,0,3,0,143.5,£5.0m
615,Midfielder,James Garner,Everton,2022/23,25,7,796,0,1,2,13,0,0,0,0,0,0,29.2,£5.0m
616,Midfielder,Kobbie Mainoo,Man Utd,2024/25,42,19,1646,0,0,5,27,167,0,0,0,0,0,58.8,£5.0m
617,Midfielder,Kobbie Mainoo,Man Utd,2023/24,77,24,1927,3,1,7,31,0,0,0,0,8,0,80.6,£5.0m
618,Midfielder,Kobbie Mainoo,Man Utd,2022/23,1,0,10,0,0,0,0,0,0,0,0,0,0,1.3,£5.0m
619,Midfielder,Mathys Tel,Spurs,2024/25,42,11,908,2,2,2,20,65,0,0,0,2,0,62.3,£6.5m
620,Forward,Niclas Füllkrug,West Ham,2024/25,42,6,783,3,2,2,18,39,0,0,0,3,0,56.8,£6.0m
621,Defender,Rodrigo Martins Gomes,Wolves,2024/25,42,7,794,2,0,1,20,47,0,0,0,0,0,47.6,£4.5m
